pruid,prename,report_date,numtotal_all_administered,as_of_date,numtotal_dose1_administered,numtotal_dose2_administered,numtotal_dose3_administered,numtotal_dose4_administered,updated
47,Saskatchewan,2021-06-03,754830,2021-06-03,652655,102175,,,1
12,Nova Scotia,2021-06-03,608488,2021-06-02,564571,43917,,,1
46,Manitoba,2021-06-03,888981,2021-06-02,758079,124109,,,1
13,New Brunswick,2021-06-03,472891,2021-05-29,432047,40844,0,,1
10,Newfoundland and Labrador,2021-06-03,318558,2021-06-02,305368,13190,,,1
11,Prince Edward Island,2021-06-03,93230,2021-05-29,79800,13430,,,0
61,Northwest Territories,2021-06-03,53501,2021-05-29,29579,23922,,,0
62,Nunavut,2021-06-03,32196,2021-05-31,17247,14949,,,0
60,Yukon,2021-06-03,51089,2021-05-29,26952,24137,,,0
1,Canada,2021-06-03,25141729,2021-06-03,22641010,2493552,92,0,1
24,Quebec,2021-06-04,5906696,2021-06-03,5384808,521575,,,1
35,Ontario,2021-06-04,9911563,2021-06-03,8910605,1000864,94,0,1
59,British Columbia,2021-06-04,3488884,2021-06-04,3232159,256725,,,1
48,Alberta,2021-06-04,2951927,2021-06-03,2485658,466269,,,1
47,Saskatchewan,2021-06-04,770463,2021-06-04,657721,112742,,,1
12,Nova Scotia,2021-06-04,621661,2021-06-03,577473,44188,,,1
46,Manitoba,2021-06-04,911382,2021-06-03,766707,132569,,,1
13,New Brunswick,2021-06-04,472891,2021-05-29,432047,40844,0,,0
10,Newfoundland and Labrador,2021-06-04,324881,2021-06-03,311051,13830,,,1
11,Prince Edward Island,2021-06-04,93230,2021-05-29,79800,13430,,,0
61,Northwest Territories,2021-06-04,53501,2021-05-29,29579,23922,,,0
62,Nunavut,2021-06-04,32196,2021-05-31,17247,14949,,,0
60,Yukon,2021-06-04,51089,2021-05-29,26952,24137,,,0
1,Canada,2021-06-04,25590364,2021-06-04,22911807,2666044,94,0,1
24,Quebec,2021-06-05,6001080,2021-06-04,5384808,521575,,,1
35,Ontario,2021-06-05,10071105,2021-06-04,8999947,1071062,96,0,1
59,British Columbia,2021-06-05,3488884,2021-06-04,3232159,256725,,,0
48,Alberta,2021-06-05,3013555,2021-06-04,2510722,502833,,,1
47,Saskatchewan,2021-06-05,787130,2021-06-05,664537,122593,,,1
12,Nova Scotia,2021-06-05,621661,2021-06-03,577473,44188,,,0
46,Manitoba,2021-06-05,925812,2021-06-04,775507,139177,,,1
13,New Brunswick,2021-06-05,472891,2021-05-29,432047,40844,0,,0
10,Newfoundland and Labrador,2021-06-05,330103,2021-06-04,315699,14404,,,1
11,Prince Edward Island,2021-06-05,104180,2021-06-05,89755,14425,0,,1
61,Northwest Territories,2021-06-05,53501,2021-05-29,29579,23922,,,0
62,Nunavut,2021-06-05,33018,2021-06-05,17596,15422,,,1
60,Yukon,2021-06-05,53679,2021-06-05,28249,25430,0,0,1
1,Canada,2021-06-05,25956599,2021-06-05,23058078,2792600,96,0,1
24,Quebec,2021-06-06,6085750,2021-06-05,5384808,521575,,,1
35,Ontario,2021-06-06,10187605,2021-06-05,9061056,1126451,98,0,1
59,British Columbia,2021-06-06,3488884,2021-06-04,3232159,256725,,,0
48,Alberta,2021-06-06,3057662,2021-06-05,2528160,529502,,,1
47,Saskatchewan,2021-06-06,800772,2021-06-06,669057,131715,,,1
12,Nova Scotia,2021-06-06,621661,2021-06-03,577473,44188,,,0
46,Manitoba,2021-06-06,938696,2021-06-05,783133,144519,,,1
13,New Brunswick,2021-06-06,472891,2021-05-29,432047,40844,0,,0
10,Newfoundland and Labrador,2021-06-06,335593,2021-06-05,318238,17355,,,1
11,Prince Edward Island,2021-06-06,104180,2021-06-05,89755,14425,0,,0
61,Northwest Territories,2021-06-06,53501,2021-05-29,29579,23922,,,0
62,Nunavut,2021-06-06,33018,2021-06-05,17596,15422,,,0
60,Yukon,2021-06-06,53679,2021-06-05,28249,25430,0,0,0
1,Canada,2021-06-06,26233892,2021-06-06,23151310,2892073,98,0,1
24,Quebec,2021-06-07,6153771,2021-06-06,5583471,569975,,,1
35,Ontario,2021-06-07,10344889,2021-06-06,9130925,1213864,100,0,1
59,British Columbia,2021-06-07,3635795,2021-06-07,3321549,314246,,,1
48,Alberta,2021-06-07,3084119,2021-06-06,2538266,545853,,,1
47,Saskatchewan,2021-06-07,809400,2021-06-07,671360,138040,,,1
12,Nova Scotia,2021-06-07,637911,2021-06-06,593344,44567,,,1
46,Manitoba,2021-06-07,946611,2021-06-06,789199,146383,,,1
13,New Brunswick,2021-06-07,472891,2021-05-29,432047,40844,0,,0
10,Newfoundland and Labrador,2021-06-07,337715,2021-06-06,320360,17355,,,1
11,Prince Edward Island,2021-06-07,104180,2021-06-05,89755,14425,0,,0
61,Northwest Territories,2021-06-07,53501,2021-05-29,29579,23922,,,0
62,Nunavut,2021-06-07,33018,2021-06-05,17596,15422,,,0
60,Yukon,2021-06-07,53679,2021-06-05,28249,25430,0,0,0
1,Canada,2021-06-07,26667480,2021-06-07,23545700,3110326,100,0,1
24,Quebec,2021-06-08,6220734,2021-06-07,5619999,600373,,,1
35,Ontario,2021-06-08,10521650,2021-06-07,9199132,1322412,106,0,1
59,British Columbia,2021-06-08,3685340,2021-06-08,3339832,345508,,,1
48,Alberta,2021-06-08,3123226,2021-06-07,2550015,573211,,,1
47,Saskatchewan,2021-06-08,816124,2021-06-08,672620,143504,,,1
12,Nova Scotia,2021-06-08,642718,2021-06-07,597842,44876,,,1
46,Manitoba,2021-06-08,960480,2021-06-07,795928,151561,,,1
13,New Brunswick,2021-06-08,472891,2021-05-29,432047,40844,0,,0
10,Newfoundland and Labrador,2021-06-08,341114,2021-06-07,323659,17455,,,1
11,Prince Edward Island,2021-06-08,104180,2021-06-05,89755,14425,0,,0
61,Northwest Territories,2021-06-08,55078,2021-06-05,30197,24881,,,1
62,Nunavut,2021-06-08,33018,2021-06-05,17596,15422,,,0
60,Yukon,2021-06-08,53679,2021-06-05,28249,25430,0,0,0
1,Canada,2021-06-08,27030232,2021-06-08,23696871,3319902,106,0,1
24,Quebec,2021-06-09,6297804,2021-06-08,5659742,637687,,,1
35,Ontario,2021-06-09,10702262,2021-06-08,9262979,1439177,106,0,1
59,British Columbia,2021-06-09,3749758,2021-06-09,3359494,390264,,,1
48,Alberta,2021-06-09,3157862,2021-06-08,2559723,598139,,,1
47,Saskatchewan,2021-06-09,828652,2021-06-09,675288,153364,,,1
12,Nova Scotia,2021-06-09,647604,2021-06-08,602232,45372,,,1
46,Manitoba,2021-06-09,974549,2021-06-08,802045,160228,,,1
13,New Brunswick,2021-06-09,472891,2021-05-29,432047,40844,0,,0
10,Newfoundland and Labrador,2021-06-09,345743,2021-06-07,327721,18022,,,0
11,Prince Edward Island,2021-06-09,104180,2021-06-05,89755,14425,0,,0
61,Northwest Territories,2021-06-09,55078,2021-06-05,30197,24881,,,0
62,Nunavut,2021-06-09,33018,2021-06-05,17596,15422,,,0
60,Yukon,2021-06-09,53679,2021-06-05,28249,25430,0,0,0
1,Canada,2021-06-09,27423080,2021-06-09,23847068,3563255,106,0,1
24,Quebec,2021-06-10,6385517,2021-06-09,5691044,694080,,,1
35,Ontario,2021-06-10,10901860,2021-06-09,9327995,1573755,110,0,1
59,British Columbia,2021-06-10,3823103,2021-06-10,3379541,443562,,,1
48,Alberta,2021-06-10,3215144,2021-06-09,2580370,634774,,,1
47,Saskatchewan,2021-06-10,845439,2021-06-10,678615,166824,,,1
12,Nova Scotia,2021-06-10,635472,2021-06-05,590928,44544,0,,1
46,Manitoba,2021-06-10,932481,2021-06-05,786098,146346,37,,1
13,New Brunswick,2021-06-10,531795,2021-06-05,484582,47213,0,,1
10,Newfoundland and Labrador,2021-06-10,335593,2021-06-05,318238,17355,0,,1
11,Prince Edward Island,2021-06-10,104180,2021-06-05,89755,14425,0,,0
61,Northwest Territories,2021-06-10,55078,2021-06-05,30197,24881,,,0
62,Nunavut,2021-06-10,33018,2021-06-05,17596,15422,,,0
60,Yukon,2021-06-10,53679,2021-06-05,28249,25430,0,0,0
1,Canada,2021-06-10,27852359,2021-06-10,24003208,3848611,147,0,1
24,Quebec,2021-06-11,6487877,2021-06-10,5731724,755723,,,1
35,Ontario,2021-06-11,11096637,2021-06-10,9388278,1708246,113,0,1
59,British Columbia,2021-06-11,3893581,2021-06-11,3395649,497932,,,1
48,Alberta,2021-06-11,3215144,2021-06-09,2580370,634774,,,0
47,Saskatchewan,2021-06-11,860651,2021-06-11,682242,178409,,,1
12,Nova Scotia,2021-06-11,635472,2021-06-05,590928,44544,0,,0
46,Manitoba,2021-06-11,932481,2021-06-05,786098,146346,37,,0
13,New Brunswick,2021-06-11,531795,2021-06-05,484582,47213,0,,0
10,Newfoundland and Labrador,2021-06-11,335593,2021-06-05,318238,17355,0,,0
11,Prince Edward Island,2021-06-11,104180,2021-06-05,89755,14425,0,,0
61,Northwest Territories,2021-06-11,55078,2021-06-05,30197,24881,,,0
62,Nunavut,2021-06-11,33018,2021-06-05,17596,15422,,,0
60,Yukon,2021-06-11,53679,2021-06-05,28249,25430,0,0,0
1,Canada,2021-06-11,28235186,2021-06-11,24123906,4110700,150,0,1
24,Quebec,2021-06-12,6595378,2021-06-11,5731724,755723,,,1
35,Ontario,2021-06-12,11282973,2021-06-11,9445107,1837752,114,0,1
59,British Columbia,2021-06-12,3893581,2021-06-11,3395649,497932,,,0
48,Alberta,2021-06-12,3336850,2021-06-11,2607713,729137,,,1
47,Saskatchewan,2021-06-12,878665,2021-06-12,686857,191808,,,1
12,Nova Scotia,2021-06-12,635472,2021-06-05,590928,44544,0,,0
46,Manitoba,2021-06-12,932481,2021-06-05,786098,146346,37,,0
13,New Brunswick,2021-06-12,531795,2021-06-05,484582,47213,0,,0
10,Newfoundland and Labrador,2021-06-12,335593,2021-06-05,318238,17355,0,,0
11,Prince Edward Island,2021-06-12,116572,2021-06-12,99274,17298,0,,1
61,Northwest Territories,2021-06-12,55078,2021-06-05,30197,24881,,,0
62,Nunavut,2021-06-12,33791,2021-06-12,17991,15800,,,1
60,Yukon,2021-06-12,54491,2021-06-12,28539,25952,0,0,1
1,Canada,2021-06-12,28682720,2021-06-12,24222897,4351741,151,0,1
24,Quebec,2021-06-13,6697703,2021-06-12,5811953,895968,,,1
35,Ontario,2021-06-13,11417932,2021-06-12,9482513,1935305,114,0,1
59,British Columbia,2021-06-13,3893581,2021-06-11,3395649,497932,,,0
48,Alberta,2021-06-13,3384026,2021-06-12,2616440,767586,,,1
47,Saskatchewan,2021-06-13,893514,2021-06-13,689940,203574,,,1
12,Nova Scotia,2021-06-13,635472,2021-06-05,590928,44544,0,,0
46,Manitoba,2021-06-13,932481,2021-06-05,786098,146346,37,,0
13,New Brunswick,2021-06-13,531795,2021-06-05,484582,47213,0,,0
10,Newfoundland and Labrador,2021-06-13,335593,2021-06-05,318238,17355,0,,0
11,Prince Edward Island,2021-06-13,116572,2021-06-12,99274,17298,0,,0
61,Northwest Territories,2021-06-13,55078,2021-06-05,30197,24881,,,0
62,Nunavut,2021-06-13,33791,2021-06-12,17991,15800,,,0
60,Yukon,2021-06-13,54491,2021-06-12,28539,25952,0,0,0
1,Canada,2021-06-13,28982029,2021-06-13,24352342,4639754,151,0,1
24,Quebec,2021-06-14,6776741,2021-06-13,5830312,945939,,,1
35,Ontario,2021-06-14,11601851,2021-06-13,9523075,2078659,117,0,1
59,British Columbia,2021-06-14,4048346,2021-06-14,3434893,613453,,,1
48,Alberta,2021-06-14,3412751,2021-06-13,2620395,792356,,,1
47,Saskatchewan,2021-06-14,903442,2021-06-14,691649,211793,,,1
12,Nova Scotia,2021-06-14,635472,2021-06-05,590928,44544,0,,0
46,Manitoba,2021-06-14,932481,2021-06-05,786098,146346,37,,0
13,New Brunswick,2021-06-14,531795,2021-06-05,484582,47213,0,,0
10,Newfoundland and Labrador,2021-06-14,335593,2021-06-05,318238,17355,0,,0
11,Prince Edward Island,2021-06-14,116572,2021-06-12,99274,17298,0,,0
61,Northwest Territories,2021-06-14,55078,2021-06-05,30197,24881,,,0
62,Nunavut,2021-06-14,33791,2021-06-12,17991,15800,,,0
60,Yukon,2021-06-14,54491,2021-06-12,28539,25952,0,0,0
1,Canada,2021-06-14,29438404,2021-06-14,24456171,4981589,154,0,1
24,Quebec,2021-06-15,6868473,2021-06-14,5853321,1014628,,,1
35,Ontario,2021-06-15,11803274,2021-06-14,9563708,2239447,119,0,1
59,British Columbia,2021-06-15,4102905,2021-06-15,3445414,657491,,,1
48,Alberta,2021-06-15,3480407,2021-06-14,2643794,836613,,,1
47,Saskatchewan,2021-06-15,910322,2021-06-15,692810,217512,,,1
12,Nova Scotia,2021-06-15,635472,2021-06-05,590928,44544,0,,0
46,Manitoba,2021-06-15,932481,2021-06-05,786098,146346,37,,0
13,New Brunswick,2021-06-15,531795,2021-06-05,484582,47213,0,,0
10,Newfoundland and Labrador,2021-06-15,335593,2021-06-05,318238,17355,0,,0
11,Prince Edward Island,2021-06-15,116572,2021-06-12,99274,17298,0,,0
61,Northwest Territories,2021-06-15,57215,2021-06-12,30832,26383,,,1
62,Nunavut,2021-06-15,33791,2021-06-12,17991,15800,,,0
60,Yukon,2021-06-15,54491,2021-06-12,28539,25952,0,0,0
1,Canada,2021-06-15,29862791,2021-06-15,24555529,5306582,156,0,1
24,Quebec,2021-06-16,6955473,2021-06-15,5871867,1083041,,,1
35,Ontario,2021-06-16,12008820,2021-06-15,9599689,2409010,121,0,1
59,British Columbia,2021-06-16,4165142,2021-06-16,3454295,710847,,,1
48,Alberta,2021-06-16,3533434,2021-06-15,2654840,878594,,,1
47,Saskatchewan,2021-06-16,922335,2021-06-16,694979,227356,,,1
12,Nova Scotia,2021-06-16,635472,2021-06-05,590928,44544,0,,0
46,Manitoba,2021-06-16,932481,2021-06-05,786098,146346,37,,0
13,New Brunswick,2021-06-16,531795,2021-06-05,484582,47213,0,,0
10,Newfoundland and Labrador,2021-06-16,335593,2021-06-05,318238,17355,0,,0
11,Prince Edward Island,2021-06-16,116572,2021-06-12,99274,17298,0,,0
61,Northwest Territories,2021-06-16,57215,2021-06-12,30832,26383,,,0
62,Nunavut,2021-06-16,33791,2021-06-12,17991,15800,,,0
60,Yukon,2021-06-16,54491,2021-06-12,28539,25952,0,0,0
1,Canada,2021-06-16,30282614,2021-06-16,24632152,5649739,158,0,1
24,Quebec,2021-06-17,7055053,2021-06-16,5890721,1163724,,,1
35,Ontario,2021-06-17,12221397,2021-06-16,9633228,2588042,127,0,1
59,British Columbia,2021-06-17,4231871,2021-06-17,3463863,768008,,,1
48,Alberta,2021-06-17,3583406,2021-06-16,2661130,922276,,,1
47,Saskatchewan,2021-06-17,937737,2021-06-17,697977,239760,,,1
12,Nova Scotia,2021-06-17,696204,2021-06-12,645341,50863,0,,1
46,Manitoba,2021-06-17,1026087,2021-06-12,835260,190805,22,,1
13,New Brunswick,2021-06-17,587857,2021-06-12,511329,76528,0,,1
10,Newfoundland and Labrador,2021-06-17,369160,2021-06-12,343290,25870,0,,1
11,Prince Edward Island,2021-06-17,116572,2021-06-12,99274,17298,0,,0
61,Northwest Territories,2021-06-17,57215,2021-06-12,30832,26383,,,0
62,Nunavut,2021-06-17,33791,2021-06-12,17991,15800,,,0
60,Yukon,2021-06-17,54491,2021-06-12,28539,25952,0,0,0
1,Canada,2021-06-17,30970841,2021-06-17,24858775,6111309,149,0,1
24,Quebec,2021-06-18,7158444,2021-06-17,5910590,1247214,,,1
35,Ontario,2021-06-18,12432754,2021-06-17,9667006,2765614,133,1,1
59,British Columbia,2021-06-18,4296151,2021-06-18,3472780,823371,,,1
48,Alberta,2021-06-18,3654750,2021-06-17,2671564,983186,,,1
47,Saskatchewan,2021-06-18,961997,2021-06-18,702998,258999,,,1
12,Nova Scotia,2021-06-18,696204,2021-06-12,645341,50863,0,,0
46,Manitoba,2021-06-18,1026087,2021-06-12,835260,190805,22,,0
13,New Brunswick,2021-06-18,587857,2021-06-12,511329,76528,0,,0
10,Newfoundland and Labrador,2021-06-18,369160,2021-06-12,343290,25870,0,,0
11,Prince Edward Island,2021-06-18,116572,2021-06-12,99274,17298,0,,0
61,Northwest Territories,2021-06-18,57215,2021-06-12,30832,26383,,,0
62,Nunavut,2021-06-18,33791,2021-06-12,17991,15800,,,0
60,Yukon,2021-06-18,54491,2021-06-12,28539,25952,0,0,0
1,Canada,2021-06-18,31445473,2021-06-18,24936794,6507883,155,1,1
24,Quebec,2021-06-19,7249641,2021-06-18,5910590,1247214,,,1
35,Ontario,2021-06-19,12615555,2021-06-18,9701169,2914248,137,1,1
59,British Columbia,2021-06-19,4296151,2021-06-18,3472780,823371,,,0
48,Alberta,2021-06-19,3721419,2021-06-18,2680679,1040740,,,1
47,Saskatchewan,2021-06-19,981734,2021-06-19,706408,275326,,,1
12,Nova Scotia,2021-06-19,696204,2021-06-12,645341,50863,0,,0
46,Manitoba,2021-06-19,1026087,2021-06-12,835260,190805,22,,0
13,New Brunswick,2021-06-19,587857,2021-06-12,511329,76528,0,,0
10,Newfoundland and Labrador,2021-06-19,369160,2021-06-12,343290,25870,0,,0
11,Prince Edward Island,2021-06-19,128951,2021-06-19,108906,20045,0,,1
61,Northwest Territories,2021-06-19,57215,2021-06-12,30832,26383,,,0
62,Nunavut,2021-06-19,35745,2021-06-19,19594,16151,,,1
60,Yukon,2021-06-19,55859,2021-06-19,29169,26690,0,0,1
1,Canada,2021-06-19,31821578,2021-06-19,24995347,6734234,159,1,1
24,Quebec,2021-06-20,7325411,2021-06-19,5910590,1247214,,,1
35,Ontario,2021-06-20,12733386,2021-06-19,9721061,3012184,140,1,1
59,British Columbia,2021-06-20,4296151,2021-06-18,3472780,823371,,,0
48,Alberta,2021-06-20,3775674,2021-06-19,2734934,1040740,,,1
47,Saskatchewan,2021-06-20,997818,2021-06-20,708939,288879,,,1
12,Nova Scotia,2021-06-20,696204,2021-06-12,645341,50863,0,,0
46,Manitoba,2021-06-20,1026087,2021-06-12,835260,190805,22,,0
13,New Brunswick,2021-06-20,587857,2021-06-12,511329,76528,0,,0
10,Newfoundland and Labrador,2021-06-20,369160,2021-06-12,343290,25870,0,,0
11,Prince Edward Island,2021-06-20,128951,2021-06-19,108906,20045,0,,0
61,Northwest Territories,2021-06-20,57215,2021-06-12,30832,26383,,,0
62,Nunavut,2021-06-20,35745,2021-06-19,19594,16151,,,0
60,Yukon,2021-06-20,55859,2021-06-19,29169,26690,0,0,0
1,Canada,2021-06-20,32085518,2021-06-20,25072025,6845723,162,1,1
24,Quebec,2021-06-21,7386401,2021-06-20,5946645,1439014,,,1
35,Ontario,2021-06-21,12933267,2021-06-20,9746790,3186327,149,1,1
59,British Columbia,2021-06-21,4436432,2021-06-21,3501031,935401,,,1
48,Alberta,2021-06-21,3804700,2021-06-20,2691359,1113341,,,1
47,Saskatchewan,2021-06-21,998779,2021-06-21,709175,289604,,,1
12,Nova Scotia,2021-06-21,696204,2021-06-12,645341,50863,0,,0
46,Manitoba,2021-06-21,1026087,2021-06-12,835260,190805,22,,0
13,New Brunswick,2021-06-21,587857,2021-06-12,511329,76528,0,,0
10,Newfoundland and Labrador,2021-06-21,369160,2021-06-12,343290,25870,0,,0
11,Prince Edward Island,2021-06-21,128951,2021-06-19,108906,20045,0,,0
61,Northwest Territories,2021-06-21,57215,2021-06-12,30832,26383,,,0
62,Nunavut,2021-06-21,35745,2021-06-19,19594,16151,,,0
60,Yukon,2021-06-21,55859,2021-06-19,29169,26690,0,0,0
1,Canada,2021-06-21,32516657,2021-06-21,25118721,7397022,171,1,1
24,Quebec,2021-06-22,7472859,2021-06-21,5954414,1517662,,,1
35,Ontario,2021-06-22,13158600,2021-06-21,9773585,3384858,156,1,1
59,British Columbia,2021-06-22,4511923,2021-06-22,3510731,1001192,,,1
48,Alberta,2021-06-22,3854208,2021-06-21,2697234,1156974,,,1
47,Saskatchewan,2021-06-22,1005275,2021-06-22,710073,295202,,,1
12,Nova Scotia,2021-06-22,696204,2021-06-12,645341,50863,0,,0
46,Manitoba,2021-06-22,1026087,2021-06-12,835260,190805,22,,0
13,New Brunswick,2021-06-22,587857,2021-06-12,511329,76528,0,,0
10,Newfoundland and Labrador,2021-06-22,369160,2021-06-12,343290,25870,0,,0
11,Prince Edward Island,2021-06-22,128951,2021-06-19,108906,20045,0,,0
61,Northwest Territories,2021-06-22,58840,2021-06-19,31427,27413,,,1
62,Nunavut,2021-06-22,35745,2021-06-19,19594,16151,,,0
60,Yukon,2021-06-22,55859,2021-06-19,29169,26690,0,0,0
1,Canada,2021-06-22,32961568,2021-06-22,25170353,7790253,178,1,1
24,Quebec,2021-06-23,7572965,2021-06-22,5963199,1608936,,,1
35,Ontario,2021-06-23,13381388,2021-06-22,9798549,3582675,163,1,1
59,British Columbia,2021-06-23,4570153,2021-06-23,3518243,1051910,,,1
48,Alberta,2021-06-23,3903238,2021-06-22,2702372,1200866,,,1
47,Saskatchewan,2021-06-23,1023698,2021-06-23,711735,311963,,,1
12,Nova Scotia,2021-06-23,696204,2021-06-12,645341,50863,0,,0
46,Manitoba,2021-06-23,1026087,2021-06-12,835260,190805,22,,0
13,New Brunswick,2021-06-23,587857,2021-06-12,511329,76528,0,,0
10,Newfoundland and Labrador,2021-06-23,369160,2021-06-12,343290,25870,0,,0
11,Prince Edward Island,2021-06-23,128951,2021-06-19,108906,20045,0,,0
61,Northwest Territories,2021-06-23,58840,2021-06-19,31427,27413,,,0
62,Nunavut,2021-06-23,35745,2021-06-19,19594,16151,,,0
60,Yukon,2021-06-23,55859,2021-06-19,29169,26690,0,0,0
1,Canada,2021-06-23,33410145,2021-06-23,25218414,8190715,185,1,1
24,Quebec,2021-06-24,7692855,2021-06-23,5963199,1608936,,,1
35,Ontario,2021-06-24,13627469,2021-06-23,9824856,3802443,169,1,1
59,British Columbia,2021-06-24,4652087,2021-06-24,3530063,1122024,,,1
48,Alberta,2021-06-24,3963419,2021-06-23,2708245,1255174,,,1
47,Saskatchewan,2021-06-24,1048669,2021-06-24,714154,334515,,,1
12,Nova Scotia,2021-06-24,772210,2021-06-19,689484,82726,0,,1
46,Manitoba,2021-06-24,1134628,2021-06-19,872262,262338,28,,1
13,New Brunswick,2021-06-24,652990,2021-06-19,523126,129864,0,,1
10,Newfoundland and Labrador,2021-06-24,410559,2021-06-19,363831,46728,0,,1
11,Prince Edward Island,2021-06-24,128951,2021-06-19,108906,20045,0,,0
61,Northwest Territories,2021-06-24,58840,2021-06-19,31427,27413,,,0
62,Nunavut,2021-06-24,35745,2021-06-19,19594,16151,,,0
60,Yukon,2021-06-24,55859,2021-06-19,29169,26690,0,0,0
1,Canada,2021-06-24,34234281,2021-06-24,25378316,8735047,197,1,1
24,Quebec,2021-06-25,7761010,2021-06-24,5977189,1782892,,,1
35,Ontario,2021-06-25,13883574,2021-06-24,9853118,4030280,175,1,1
59,British Columbia,2021-06-25,4703549,2021-06-25,3536432,1167117,,,1
48,Alberta,2021-06-25,4022084,2021-06-24,2714651,1307433,,,1
47,Saskatchewan,2021-06-25,1069657,2021-06-25,716371,353286,,,1
12,Nova Scotia,2021-06-25,772210,2021-06-19,689484,82726,0,,0
46,Manitoba,2021-06-25,1134628,2021-06-19,872262,262338,28,,0
13,New Brunswick,2021-06-25,652990,2021-06-19,523126,129864,0,,0
10,Newfoundland and Labrador,2021-06-25,410559,2021-06-19,363831,46728,0,,0
11,Prince Edward Island,2021-06-25,128951,2021-06-19,108906,20045,0,,0
61,Northwest Territories,2021-06-25,58840,2021-06-19,31427,27413,,,0
62,Nunavut,2021-06-25,35745,2021-06-19,19594,16151,,,0
60,Yukon,2021-06-25,55859,2021-06-19,29169,26690,0,0,0
1,Canada,2021-06-25,34689656,2021-06-25,25435560,9252963,203,1,1
24,Quebec,2021-06-26,7761010,2021-06-24,5977189,1782892,,,0
35,Ontario,2021-06-26,14084556,2021-06-25,9879505,4204874,176,1,1
59,British Columbia,2021-06-26,4703549,2021-06-25,3536432,1167117,,,0
48,Alberta,2021-06-26,4022084,2021-06-24,2714651,1307433,,,0
47,Saskatchewan,2021-06-26,1092980,2021-06-26,718596,374384,,,1
12,Nova Scotia,2021-06-26,772210,2021-06-19,689484,82726,0,,0
46,Manitoba,2021-06-26,1134628,2021-06-19,872262,262338,28,,0
13,New Brunswick,2021-06-26,652990,2021-06-19,523126,129864,0,,0
10,Newfoundland and Labrador,2021-06-26,410559,2021-06-19,363831,46728,0,,0
11,Prince Edward Island,2021-06-26,142654,2021-06-26,114329,28325,0,,1
61,Northwest Territories,2021-06-26,58840,2021-06-19,31427,27413,,,0
62,Nunavut,2021-06-26,37232,2021-06-26,20795,16437,,,1
60,Yukon,2021-06-26,59107,2021-06-26,31417,27690,0,0,1
1,Canada,2021-06-26,34932399,2021-06-26,25473044,9458221,204,1,1
24,Quebec,2021-06-27,7761010,2021-06-24,5977189,1782892,,,0
35,Ontario,2021-06-27,14281174,2021-06-26,9899685,4381308,179,2,1
59,British Columbia,2021-06-27,4703549,2021-06-25,3536432,1167117,,,0
48,Alberta,2021-06-27,4022084,2021-06-24,2714651,1307433,,,0
47,Saskatchewan,2021-06-27,1115288,2021-06-27,720514,394774,,,1
12,Nova Scotia,2021-06-27,772210,2021-06-19,689484,82726,0,,0
46,Manitoba,2021-06-27,1134628,2021-06-19,872262,262338,28,,0
13,New Brunswick,2021-06-27,652990,2021-06-19,523126,129864,0,,0
10,Newfoundland and Labrador,2021-06-27,410559,2021-06-19,363831,46728,0,,0
11,Prince Edward Island,2021-06-27,142654,2021-06-26,114329,28325,0,,0
61,Northwest Territories,2021-06-27,58840,2021-06-19,31427,27413,,,0
62,Nunavut,2021-06-27,37232,2021-06-26,20795,16437,,,0
60,Yukon,2021-06-27,59107,2021-06-26,31417,27690,0,0,0
1,Canada,2021-06-27,35151325,2021-06-27,25495142,9655045,207,2,1
24,Quebec,2021-06-28,8053529,2021-06-27,6000566,2051927,,,1
35,Ontario,2021-06-28,14526240,2021-06-27,9922748,4603304,185,3,1
59,British Columbia,2021-06-28,4886709,2021-06-28,3566515,1320194,,,1
48,Alberta,2021-06-28,4198463,2021-06-27,2729505,1468958,,,1
47,Saskatchewan,2021-06-28,1127683,2021-06-28,721495,406188,,,1
12,Nova Scotia,2021-06-28,772210,2021-06-19,689484,82726,0,,0
46,Manitoba,2021-06-28,1134628,2021-06-19,872262,262338,28,,0
13,New Brunswick,2021-06-28,652990,2021-06-19,523126,129864,0,,0
10,Newfoundland and Labrador,2021-06-28,410559,2021-06-19,363831,46728,0,,0
11,Prince Edward Island,2021-06-28,142654,2021-06-26,114329,28325,0,,0
61,Northwest Territories,2021-06-28,58840,2021-06-19,31427,27413,,,0
62,Nunavut,2021-06-28,37232,2021-06-26,20795,16437,,,0
60,Yukon,2021-06-28,59107,2021-06-26,31417,27690,0,0,0
1,Canada,2021-06-28,36060844,2021-06-28,25587500,10472092,213,3,1
24,Quebec,2021-06-29,8161356,2021-06-28,6000566,2151723,,,1
35,Ontario,2021-06-29,14796988,2021-06-28,9945441,4851355,189,3,1
59,British Columbia,2021-06-29,4941795,2021-06-29,3573331,1368464,,,1
48,Alberta,2021-06-29,4266408,2021-06-28,2734033,1532375,,,1
47,Saskatchewan,2021-06-29,1136300,2021-06-29,722412,413888,,,1
12,Nova Scotia,2021-06-29,772210,2021-06-19,689484,82726,0,,0
46,Manitoba,2021-06-29,1134628,2021-06-19,872262,262338,28,,0
13,New Brunswick,2021-06-29,652990,2021-06-19,523126,129864,0,,0
10,Newfoundland and Labrador,2021-06-29,410559,2021-06-19,363831,46728,0,,0
11,Prince Edward Island,2021-06-29,142654,2021-06-26,114329,28325,0,,0
61,Northwest Territories,2021-06-29,60053,2021-06-26,31871,28182,,,1
